,Date,Amt,TipsAmt,Pct,JustDate,Hour,DateName,DayType,ShiftType
50,2024-03-20 17:00:00,24.15,3.62,0.14989648033126296,2024-03-20,17,Wednesday,Weekday,Evening shift
51,2024-03-20 17:00:00,39.9,5.99,0.15012531328320802,2024-03-20,17,Wednesday,Weekday,Evening shift
52,2024-03-10 20:00:00,19.16,3.83,0.19989561586638832,2024-03-10,20,Sunday,Weekend,Evening shift
53,2024-03-10 20:00:00,22.31,4.46,0.19991035410129987,2024-03-10,20,Sunday,Weekend,Evening shift
54,2024-05-28 19:00:00,22.05,3.31,0.15011337868480726,2024-05-28,19,Tuesday,Weekday,Evening shift
55,2024-05-28 18:00:00,51.45,0.0,0.0,2024-05-28,18,Tuesday,Weekday,Evening shift
56,2024-05-28 18:00:00,18.9,2.84,0.15026455026455027,2024-05-28,18,Tuesday,Weekday,Evening shift
57,2024-05-28 18:00:00,42.26,0.0,0.0,2024-05-28,18,Tuesday,Weekday,Evening shift
58,2024-05-28 16:00:00,43.05,6.46,0.15005807200929153,2024-05-28,16,Tuesday,Weekday,Evening shift
59,2024-05-28 17:00:00,32.81,4.92,0.1499542822310271,2024-05-28,17,Tuesday,Weekday,Evening shift
60,2024-05-28 17:00:00,22.31,3.35,0.15015688032272526,2024-05-28,17,Tuesday,Weekday,Evening shift
61,2024-05-04 20:00:00,27.3,4.1,0.15018315018315018,2024-05-04,20,Saturday,Weekend,Evening shift
63,2024-04-11 18:00:00,53.55,8.03,0.149953314659197,2024-04-11,18,Thursday,Weekday,Evening shift
64,2024-04-11 17:00:00,17.85,2.14,0.11988795518207283,2024-04-11,17,Thursday,Weekday,Evening shift
65,2024-04-11 18:00:00,55.65,5.57,0.10008984725965858,2024-04-11,18,Thursday,Weekday,Evening shift
66,2024-04-11 18:00:00,44.1,0.0,0.0,2024-04-11,18,Thursday,Weekday,Evening shift
67,2024-03-13 19:00:00,32.81,0.0,0.0,2024-03-13,19,Wednesday,Weekday,Evening shift
68,2024-03-13 19:00:00,22.05,3.31,0.15011337868480726,2024-03-13,19,Wednesday,Weekday,Evening shift
69,2024-03-13 19:00:00,38.85,5.83,0.15006435006435007,2024-03-13,19,Wednesday,Weekday,Evening shift
70,2024-03-13 11:00:00,18.9,2.84,0.15026455026455027,2024-03-13,11,Wednesday,Weekday,Morning shift
71,2024-03-13 12:00:00,193.46,23.22,0.12002481133050759,2024-03-13,12,Wednesday,Weekday,Morning shift
73,2024-03-13 14:00:00,56.7,11.34,0.19999999999999998,2024-03-13,14,Wednesday,Weekday,Morning shift
74,2024-03-13 19:00:00,42.26,6.34,0.15002366303833412,2024-03-13,19,Wednesday,Weekday,Evening shift
75,2024-03-13 13:00:00,37.8,5.67,0.15000000000000002,2024-03-13,13,Wednesday,Weekday,Morning shift
76,2024-03-13 13:00:00,25.2,5.04,0.2,2024-03-13,13,Wednesday,Weekday,Morning shift
77,2024-03-13 12:00:00,37.8,0.0,0.0,2024-03-13,12,Wednesday,Weekday,Morning shift
78,2024-03-13 12:00:00,39.9,5.99,0.15012531328320802,2024-03-13,12,Wednesday,Weekday,Morning shift
79,2024-03-13 13:00:00,33.6,5.04,0.15,2024-03-13,13,Wednesday,Weekday,Morning shift
80,2024-03-13 14:00:00,19.16,1.92,0.10020876826722337,2024-03-13,14,Wednesday,Weekday,Morning shift
81,2024-03-13 19:00:00,19.16,4.79,0.25,2024-03-13,19,Wednesday,Weekday,Evening shift
82,2024-03-13 18:00:00,18.9,2.84,0.15026455026455027,2024-03-13,18,Wednesday,Weekday,Evening shift
83,2024-03-10 17:00:00,56.7,2.0,0.03527336860670194,2024-03-10,17,Sunday,Weekend,Evening shift
84,2024-03-10 18:00:00,18.9,2.84,0.15026455026455027,2024-03-10,18,Sunday,Weekend,Evening shift
85,2024-03-10 18:00:00,18.9,2.84,0.15026455026455027,2024-03-10,18,Sunday,Weekend,Evening shift
86,2024-03-10 18:00:00,18.9,2.84,0.15026455026455027,2024-03-10,18,Sunday,Weekend,Evening shift
87,2024-03-10 18:00:00,74.81,14.96,0.19997326560620238,2024-03-10,18,Sunday,Weekend,Evening shift
88,2024-03-10 16:00:00,18.9,6.0,0.3174603174603175,2024-03-10,16,Sunday,Weekend,Evening shift
89,2024-03-10 18:00:00,37.8,0.0,0.0,2024-03-10,18,Sunday,Weekend,Evening shift
90,2024-03-10 18:00:00,25.73,3.86,0.15001943256898562,2024-03-10,18,Sunday,Weekend,Evening shift
91,2024-03-25 11:00:00,69.3,10.4,0.15007215007215008,2024-03-25,11,Monday,Weekday,Morning shift
