Job Title,Company Name,URL,Base Salary,Company Location,company size,Educational Level,Experience Requirements,Job Skills,Organization Type,Work Environment,Work Type
Data Analyst,Gateway Casinos and Entertainment Limited,https://www.linkedin.com/jobs/search/?currentJobId=4017664417&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=275,"$55,352 - $69,190","Burnaby, BC","5,001-10,000 employees",Undergraduate degree,2,Communication · Data Analytics · Data Science · Pivot Tables · Reporting & Analysis · Business Insights · Data Manipulation · Data-Driven Decision Making · Datasets · SQL · R · Excel · Statistics,"Gambling Facilities and Casinos 5,001-10,000 employees 1,316 on LinkedIn",On-site,Full-time
Data Analyst Intern (Remote) - Waterloo Winter 2025,Super.com,https://www.linkedin.com/jobs/search/?currentJobId=4022482962&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=275,,"Toronto, ON",201-500 employees,Undergraduate degree,None,"Dashboards · Data Analytics · Data Management · Data Modeling · Data Science · Data Visualization · Databases · Extract, Transform, Load (ETL) · Problem Solving · Visualization","Financial Services 201-500 employees 1,150 on LinkedIn",Remote,Internship
Data Analyst,CPA Ontario,https://www.linkedin.com/jobs/search/?currentJobId=4000239374&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=275,,"Toronto, ON",201-500 employees,Post-secondary degree,3,Communication · Data Analytics · Microsoft Excel · Microsoft Office · Problem Solving · Performance Reporting · Systems Analysis · Trend Analysis · Variance Analysis · SQL · CRM · ERP,Accounting 201-500 employees 792 on LinkedIn,Hybrid,Full-time
Data Reporting Analyst - Toronto/Pickering,Make-A-Wish Canada,https://www.linkedin.com/jobs/search/?currentJobId=4022285718&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=275,"Dr. Jeremy Friedman, Associate Paediatrician-in-Chief, SickKids Hospital &amp; Medical Advisor for Make-A-Wish® Canada","Toronto, ON",51-200 employees,Undergraduate degree,7,Analytics · Data Analysis · Data Analytics · Databases · IBM SPSS · Relational Databases · SAS (Software) · Tableau · Excel · Power BI · SPSS · Communication,Non-profit Organizations 51-200 employees 222 on LinkedIn,Hybrid,Full-time
Statistical Analyst,Government of Alberta,https://www.linkedin.com/jobs/search/?currentJobId=4016842648&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=275,"$68,561 - $90,011","Edmonton, AB","10,001+ employees",Undergraduate degree,2,Analytics · Data Analytics · Data Science · SAS (Software) · Statistical Analysis · Statistics · Creative Problem Solving · Data Manipulation · R · Python · Power BI,"Government Administration 10,001+ employees 17,898 on LinkedIn",Hybrid,Full-time
Data Analyst,Ratehub.ca,https://www.linkedin.com/jobs/search/?currentJobId=4011714394&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=275,,"Toronto, ON",51-200 employees,Post-secondary degree,2,Critical Thinking · Data Analysis · Data Analytics · Data Quality · Pivot Tables · Problem Solving · SQL · Tableau · Power BI · Python · AWS · Azure · Marketing Analytics · Analytical Skills · Problem Solving,Financial Services 51-200 employees 103 on LinkedIn,Remote,Full-time
Data Analyst - LMS Replacement Project - Phase 2,Raise,https://www.linkedin.com/jobs/search/?currentJobId=4025982956&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=325,,"Surrey, BC",201-500 employees,Undergraduate degree,1,Communication · Data Analysis · Data Analytics · Data Quality · Databases · Problem Solving · Control Software · Datasets · Learning Management · Learning Management Systems · Excel · SQL · Python · R,Staffing and Recruiting 201-500 employees 457 on LinkedIn,Hybrid,Contract
"Data Analyst, Full-Time, Finance, Rogers Place Arena",Compass Group,https://www.linkedin.com/jobs/search/?currentJobId=4016477654&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=325,,"Edmonton, AB","10,001+ employees",None,2,Dashboards · Data Analytics · Data Science · Data Visualization · Databases · Power BI · Excel · Analytical Thinking,"Food and Beverage Services 10,001+ employees 55,056 on LinkedIn",,Full-time
Data Analyst,O2E Brands,https://www.linkedin.com/jobs/search/?currentJobId=4010182029&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=325,"$53,000 to $66,000","North York, ON","501-1,000 employees",None,None,Dashboards · Data Analytics · Data Quality · Data Science · Data Visualization · Databases · Key Performance Indicators · Problem Solving · SQL · Statistics · Tableau · Salesforce,"Consumer Services 501-1,000 employees 281 on LinkedIn",Hybrid,Full-time
Data Analyst - SQL,Terminal,https://www.linkedin.com/jobs/search/?currentJobId=4006276663&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=325,,"Vancouver, BC",51-200 employees,None,2,Analytics · Data Analysis · Data Analytics · Data Science · Data Visualization · SQL · Datasets · Google BigQuery · Excel · Metabase · Google Analytics,Software Development 51-200 employees 147 on LinkedIn,Remote,Full-time
