,Skills_grouped,count
0,Analytical Thinking,131
1,SQL,101
2,Python,68
3,Communication,64
4,Excel,55
5,Data Pipeline,42
6,Power BI,40
7,Statistics,34
8,Tableau,32
9,AI and Machine Learning,30
10,Database,29
11,R,29
12,Azure,19
13,AWS,19
14,Data Modeling,17
15,SAS,12
16,Microsoft SQL Server,9
17,Datasets,9
18,Dashboards,8
19,Data Quality,8
20,Visualization,7
21,Crm,6
22,Data Warehousing,6
23,Snowflake,6
24,Business Requirements,6
25,Computer Science,6
